course_code,course_title,course_teacher,link,fas_code,unique_code
EXPOS 20,Expository Writing 20 ES11,Deli,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bc89201b0b78ce5f0faf069ad678923c5875d2f639eff2d6de2f410a7f46dd32c8c14147219bf152a340fd646ee96a5e&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES11,FAS-116353-2252-1-1-ES11(Deli)
EXPOS 20,Expository Writing 20 ES12,Deli,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f09dfa5422812268ef1a362bff3916111d909e750927923a66a50e13fe2d702e82e6f1a075150946176005fa19d84fe0&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES12,FAS-116353-2252-1-1-ES12(Deli)
EXPOS 20,Expository Writing 20 ES13,Parson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=faaa346f0d798c46f1d44ecb04a67b3553bec4cf96d5de535cd99f023e6ab75914d8bac93cb32a9c4e06a6c8ddf96d5d&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES13,FAS-116353-2252-1-1-ES13(Parson)
EXPOS 20,Expository Writing 20 ES14,Parson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7cb820ada2523e7e96f42a2faa62b2d0d91ded3946f822befdab0bfe6326dee741521ca68e735494a910f188ad96942&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES14,FAS-116353-2252-1-1-ES14(Parson)
EXPOS 20,Expository Writing 20 ES15,Prezioso,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e9b4e578b35258d092e92cd4f6932ec319c0ac8d26d6f62e4b35855b397d3bf09c1b9e13a44254bbf7587b78a9425556&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES15,FAS-116353-2252-1-1-ES15(Prezioso)
EXPOS 20,Expository Writing 20 ES16,Prezioso,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=945ff794ddc8524b6928b1372a4e768ec2d43a6f9ed6333f5d9ad298114717a6ee5d923de301a601802f07ef763e14dc&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES16,FAS-116353-2252-1-1-ES16(Prezioso)
EXPOS 20,Expository Writing 20 ES17,Sampson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9dafe843fcc2735034a804d81ad95439a4b6e461514e183d2d501507486a7db7621ec68aa0e831a32402df103d2f477b&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES17,FAS-116353-2252-1-1-ES17(Sampson)
EXPOS 20,Expository Writing 20 ES18,Sampson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=abff4cbf82c806f1377bb4bda14134f3986848e82f0f8f4223429155fed971e8434979928fa0a972f5e9deb5dc4085f5&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES18,FAS-116353-2252-1-1-ES18(Sampson)
EXPOS 20,Expository Writing 20 ES19,Vilbig,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8a50b495383973c497ae304a584b83ee3ce094a6bea791630e8903142729c19869740018fc2d176fe8d05e70e88a7a76&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES19,FAS-116353-2252-1-1-ES19(Vilbig)
EXPOS 20,Expository Writing 20 ES20,Vilbig,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7b4f1b6b2b91bbb67007bbd8bc3cf2b86dd16468e10311f3554004e16072a5dc315fa8f62fb3c5e8eb89ec84d44a199c&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES20,FAS-116353-2252-1-1-ES20(Vilbig)
EXPOS 40,Public Speaking Practicum 001,Coburn-Palo,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=24260380d3a765dcf975ed9065b98c19f7cca4a1928451ae244333f7bc4ed029b4931bd85ba86c47b43053c2a978adae&ReportType=2&regl=en-US,FAS-125227-2252-1-1-001,FAS-125227-2252-1-1-001(Coburn-Palo)
